"Name","Description","Homepage","Social networks accounts","E-mail","Contact page","Organisation Type","Physical address","Legal entity","Year of foundation","Language(s) of the platform","Phone","Keywords","Type of activity","The most important type of collaboration","Type of common resource resulting","User generated content license","Software platform license","Owner","Infrastructure provider","Other information","Scope"
"CitizenSpeak","CitizenSpeak was a free email advocacy service that enabled grassroots organizations and individual activists to launch MoveOn-like email campaigns and track participation. CitizenSpeak campaigns were easy to set-up and only require a web-browser and basic web-surfing skills to use.
With CitizenSpeak users could:
Empower members to easily lobby decision-makers.
Increased awareness by sending decision-makers individually addressed emails.
Extended reach with the Internet’s networking ability.
Learned more about supporters with downloadable reports that detail participant contact info and personal statements.
Growed membership and fundraise with customizable ‘Thank You’ pages that invited participants to donate or join.
Increased website traffic by promoting a web address on a customizable ","http://citizenspeak.org/","https://www.facebook.com/pages/CitizenSpeak/148295868517028?id=148295868517028&sk=info","","http://citizenspeak.org/contact","Grass Roots Organization Or Community Network","United States","not for profit organization","2002-01-01 00:00:00","English","","collective action, grass roots organization, advocacy service","Community networks","Building collective process","Service","Creative Commons: Attribution (CC BY)","Other licenses","Citizen Speak","","It is make on drupal ",""
"OpenHatch","OpenHatch runs education events and maintains free, web-based learning tools, to help people get involved in collaborative software development; and we work with computer programming meetup groups to help them run more newcomer-friendly and gender-diverse events. These meetup groups are educational groups that meet free of cost to educate the public on computer software programming topics.
If you have: OpenHatch is a non-profit organization with the goals of lowering the barriers to entry into the open source community and increasing diversity. We achieve these goals through a number of initiatives.","http://openhatch.org/","https://openhatch.org/wiki/OpenHatch_wiki:About, https://twitter.com/openhatch, http://identi.ca/openhatch, https://github.com/openhatch/oh-mainline","hello@openhatch.org","http://lists.openhatch.org/mailman/listinfo/osctc-planning","Grass Roots Organization Or Community Network","San Francisco, CAUnited States","not for profit organization","2012-01-01 00:00:00","English","","free software, open source, software tutorial","FLOSS communities, Others","Exchange","Service","Creative Commons: Attribution (CC BY)","Open Source License","Open Hatch ","Open Hatch","",""
"Crowdmap","Crowdmap is a tool that allows you to crowdsource information and see it on a map and timeline. It enables anyone to run their own crowdsourcing site without having to know the intricacies of running their own server. It's free and it's yours to use.
Mission
Enable anyone too...
1. Collect information from cell phones, news and the web.
2. Aggregate that information into a single platform.
3. Visualize it on a map and timeline.
Company Overview
Ordinary people have a voice, and interesting things happen when you aggregate those voices and visualize the results. Surprising information and insights can be found.

Crowdmap is a tool that allows you to crowdsource information and see it on a map and timeline. It is the Ushahidi platform, built by the team who created Ushahidi as a way for anyone to run their own crowdsourcing site without having to know the intricacies of running their own server. It's free and it's yours to use.","https://crowdmap.com/welcome","https://twitter.com/Crowdmap, https://www.facebook.com/crowdmap","","https://crowdmap.com/mhi/contact","Grass Roots Organization Or Community Network","United States","not for profit organization","2010-01-01 00:00:00","Catalan, English, French, German, Portuguese, Spanish","","Collective mapping, map visualization","Community networks, Collaborative mapping","Collage","Resource, Service","Other","Private software","Ushahidi","Ushahidi","",""
"CrowdtiltOpen ","Crowdfunding solution for brands, businesses, and organizations. Self-hosting a campaign allows you to use advanced tools to collect more funds, build your brand, and capture long-term value and traffic. CrowdtiltOpen brings that power to everyone, even non-engineers.

 CrowdtiltOpen is an end-to-end solution that makes it easy to launch your own professional white-labeled crowdfunding, presale, or donation page. CrowdtiltOpen will host your page, handle payment processing, and leave you to focus on what your goal: raising funds. You'll control the look and feel, plug in third-party services you love, and manage your backers—all without writing a line of code.

Unlike most third-party platforms, there are no arbitrary guidelines here. CrowdtiltOpen can be used for collecting pre-orders, raising funds for charity, a group experience, or anything else you can imagine.

You can launch a campaign on your own domain (say, campaign.soylent.me), run multiple campaigns at once, and change your page whenever you want. And with first-ever features like recurring-billing based rewards and Bitcoin integration, your imagination's the only limit. ","https://open.crowdtilt.com/","https://www.facebook.com/crowdtilt, https://twitter.com/Crowdtilt, https://github.com/crowdtilt/crowdtiltopen","open@crowdtilt.com","","Social Enterprise Charity Or Foundation","San FranciscoUnited States","not for profit organization","2012-01-01 00:00:00","English","+1 888-921-8458","crowdfunding, collective action, collected money","Peer funding","Building collective process","Service","GNU General Public License","MIT License","Crowdtilt ","","",""
"Alaska Permanent Fund","The Alaska Permanent Fund is a constitutionally established permanent fund managed by a state-owned corporation, the Alaska Permanent Fund Corporation (APFC). It is a stakeholder trust model of management for large-scale commons that distributes revenues from a shared asset (such as oil on Alaskan land) to every household in the state (roughly $1,000 to $2,000 each year). 
The fund was established in Alaska in 1976, after oil from Alaska began flowing to market through the Trans-Alaska Pipeline System, to invest at least 25% of the oil money into a dedicated fund for current and future generations of Alaskans. The Fund grew from an initial investment of $734,000 in 1977 to approximately $42.1 billion as of August 31, 2012.","http://www.apfc.org/home/Content/home/index.cfm","","","","Social Enterprise Charity Or Foundation","","for profit organization","1976-01-01 00:00:00","English","","","Others","Other","Resource, Others","Other","Other licenses","","","",""
"Remix The Commons","Remix The Commons is an intercultural space for sharing and co-creating multimedia documents about the commons.  It aims at documenting and illustrating key ideas and practices of the commons movement, including through the creative process of the project itself. The project is hosted by an intercultural collective of people and organizations convinced that the curation, exchange and remixing of diverse narratives, definitions and images of the commons are a dynamic and participatory way of appropriating and disseminating the concept of the commons.

Remix The Commons was initiated in 2010 by Alain Ambrosi with the organizations of Communautique and VECAM, in Québec and France. Forum des Alternatives Maroc « FMAS » in Maroco, KËR THIOSSANE and the “Laboratoire de recherches sur les transformations économiques et sociales” (LARTES) of IFAN, in Senegal have joined the circle in 2011. Remix The Commons is constituted and functions as commons. The collective charter defines its values, mission and governance rules, all of which are open to discussion. In 2013, the charter Remix the Commons has been drafted to be adopted by individuals and organizations wishing to be part of the collective Remix the Commons in charge of project governance.","http://www.remixthecommons.org/","http://www.youtube.com/user/Remixthecommons/videos?flow=grid&sort=p&view=0, http://vimeo.com/user5449180","remixthecommons@gmail.com","http://www.remixthecommons.org/en/contact/","Social Enterprise Charity Or Foundation","Canada","not for profit organization","2010-01-01 00:00:00","English, French","","","Collaborative video, audio, images, Collaborative archive, Citizen media, Collaborative research, Citizen science, Open data commons","Collage","Resource, Service, Methodology, Brand","Creative Commons: Attribution-ShareAlike (CC BY-SA)","Creative commons: BY-SA 3.0","Collective Remix The Commons (a coalition of organizations)","","",""
"Freesound","Freesound aims to create a huge collaborative database of audio snippets, samples, recordings, bleeps, ... released under Creative Commons licenses.","http://www.freesound.org","","support@freesound.org","http://www.freesound.org/contact/","Academia And Research","Plaça de la Mercè, 10-12BarcelonaSpain","public institution","2005-01-01 00:00:00","English","","creative commons, sounds, free culture","Collaborative archive","Album","Resource","Creative Commons: Attribution (CC BY)","AGPL license"," Music Technology Group at Universitat Pompeu Fabra","Universitat Pompeu Fabra","",""
"Jamendo","Jamendo is a music website and an open community of music authors. It bills itself as ""the world's largest digital service for free music"". Since the beginning in 2005, Jamendo's music has been licensed under Creative Commons licenses. ","http://www.jamendo.com","https://www.facebook.com/JAMENDO, https://twitter.com/Jamendo, https://plus.google.com/+jamendo/posts, http://www.youtube.com/user/JamendoTV","contact@jamendo.com","http://www.jamendo.com/en/contact","Business","76, Avenue de la LibertéL-1930 LuxembourgLuxembourg","for profit organization","2005-01-01 00:00:00","English, French, German, Italian, Polish, Spanish","","music, creative commons, audio, artists, repository","Collaborative video, audio, images","Album","Resource, Service","Other","Private software","Multiple owners of the contents","Jamendo SA","",""
"Generatech","Generatech is a platform for the empowerement of gender in the audiovisual technoculture. It hosts collaborative spaces for communities related to critical views on gender, feminism, bodies, sexuality and related issues, while promoting free software and free culture.","http://generatech.org","","","http://generatech.org/contact","Academia And Research","","other","2007-01-01 00:00:00","Catalan, English, Spanish","","gender, feminism, free culture, transmedia  service, video library","Collaborative video, audio, images, Free software social networks and platforms","Album","Resource, Service","GNU Free Documentation License","GNU General Public License V2","Multiple owners: Generatech_Core, Fractalidades en Investigación Crítica del Departamento de Psicología Social de la UAB, Ideadestroyingmuros, nomepisesofreghao, ekka & hangar","Research group (Fractalidades en Investigación Crítica) of Social Psychology Dept of the Universitat Autonoma de Barcelona","",""
"Bajo el Asfalto está la Huerta (BAH)","The Bajo el Asfalto está la Huerta (BAH) is an ecological farming initiative focused on sustainable agriculture outside of market dynamics, implementing an alternative model of agricultural production, distribution and consumption. This model is based on self-organisation, assembly-based decision-making and horizontal non-hierarchical relationships. This makes it possible to establish direct links between the producer and the consumer, and implies the direct participation in the construction and development of the project of both the workers on the land and the members of the consumption groups in the different neighbourhoods of Madrid.","http://bah.ourproject.org/","","bah@ourproject.org ","http://bah.ourproject.org/sobre-el-bah/article/contacta-con-el-bah","Grass Roots Organization Or Community Network","MadridSpain","not for profit organization","1999-01-01 00:00:00","Spanish","","sustainability, ecology, farming, agriculture","Urban commons, Others","Physical resource","Resource","No license","GNU General Public License V2","","","",""
"CSA La Tabacalera de Lavapiés","CSA Tabacalera is a self-managed social center in the Lavapiés neighbourhood in Madrid (Spain) with 9,200 square metres. The building is an old factory of tobacco owned by the Spanish Ministry of Culture and considered public cultural heritage. ","http://latabacalera.net/","https://twitter.com/latabacalera, https://es-es.facebook.com/pages/CSA-La-Tabacalera-de-Lavapi%C3%A9s/131688400207517","comunicacion@latabacalera.net","http://latabacalera.net/participa/","Grass Roots Organization Or Community Network","Calle Embajadores 53, 28012, Madrid28012 MadridSpain","not for profit organization","2010-01-01 00:00:00","Spanish","","free culture, social centre, social center, collaborative space, lavapiés","Urban commons, Hacklabs / Collaborative spaces, Others","Space","Resource","Creative Commons: Attribution-ShareAlike (CC BY-SA)","GNU General Public License V2","","","",""
"Amara","Amara lets people collaborate to make video accessible to everyone. There has never been a bigger need for translations and captions-- video is the most powerful and popular medium in the world. Join our global volunteer community!

We think collaborative subtitling is the best way to eradicate language and accessibility barriers for socially important and popular videos on the web.

A project of the Participatory Culture Foundation, pculture.org.
","http://www.amara.org/es/","http://www.facebook.com/Amara.Community/, http://twitter.com/amarasubs","press@amara.org","http://support.amara.org/support/discussions","Business","Spain","for profit organization","2010-01-01 00:00:00","English","","close caption, subtiting, translator","Community networks, Collaborative video, audio, images","Album","Resource, Service","No license","Private software","http://pculture.org./  PCF ","http://pculture.org./   PCF","",""
"Wikinews","Anyone can contribute, and articles are written collaboratively for a global audience. Wikinews  strive at all times to meet the policy of writing and reporting from a neutral point of view, ensuring the reporting is as fair as possible.
Furthermore, everything its write is cited, to maintain the highest standards of reliability.
Our policy is to omit opinion and commentary in our articles — if you want to tell the world what you think, try blogging.
Wikinews, like its big sister Wikipedia, is run and funded by volunteers donating their time and money, and has no advertising. Decisions are made collectively, and we like to negotiate. Discussion is encouraged, and there are plenty of people around to learn from. Everything that's done on the wiki can be undone, so it's very friendly to new users. The interface is designed to be easy to use and easy to learn.","http://www.wikinews.org/","https://twitter.com/wikinews, https://www.facebook.com/wikinews","","http://en.wikinews.org/wiki/Wikinews:Water_cooler","Grass Roots Organization Or Community Network","United States","not for profit organization","2004-01-01 00:00:00","English, Italian, Portuguese, Spanish","","news","Collaborative writing, Citizen media","Album","Service","Creative Commons: Attribution (CC BY)","Other licenses","Wikimedia Foundation, Inc.","Wikimedia foundation","To make contact it is necessary to registered ",""
"Sage ","Sage is a free open-source mathematics software system licensed under the GPL. It combines the power of many existing open-source packages into a common Python-based interface.
Mission: Creating a viable free open source alternative to Magma, Maple, Mathematica and Matlab.","http://sagemath.org/","https://plus.google.com/113421169347512599264/?prsrc=3, http://www.facebook.com/pages/Sage-Math/26593144945, http://twitter.com/sagemath, https://groups.google.com/forum/feed/sage-announce/msgs/atom_v1_0.xml","","https://groups.google.com/forum/#!forum/sage-support","Academia And Research","Washington,United States","not for profit organization","2005-01-01 00:00:00","English","","Math, statistics, research software","FLOSS communities","Exchange","Resource, Service","GNU General Public License","GNU General Public License V2","Sage community","","",""
"On the commons ","On the Commons (OTC) is a commons movement strategy center founded in 2001. Through our efforts, we help:

Build and bring visibility to the commons movement;
Initiate and catalyze commons work; and,
Develop and encourage commons leadership.
We believe it is possible to foster a commons-based society, which refers to a shift away from our market-based system, through new, collaborative ways of working.","http://onthecommons.org/","https://twitter.com/#!/onthecommons, http://www.facebook.com/OntheCommons","kmilun@onthecommons.org","http://www.onthecommons.org/","Grass Roots Organization Or Community Network","2104 Stevens Ave. S Minneapolis, MN 55404Minneapolis, MN 55404United States","not for profit organization","2001-01-01 00:00:00","English","612.879.7530 ","Commons platform, commons movement","Community networks, Others","Collage","Service, Others","Creative Commons: Attribution-ShareAlike (CC BY-SA)","Other licenses","On the commons","On the commons ","",""
"Loomio","Loomio is an online, collaborative decision-making tool for communities.","https://www.loomio.org/","https://twitter.com/loomioproject","contact@loomio.org","https://www.loomio.org/g/WmPCB3IR/loomio-community","Social Enterprise Charity Or Foundation","Enspiral Space Te Aro Wellington CBD,Level 2, 18-24 Allen Street,Te Aro Wellington Wellington 6011New Zealand","other","2011-01-01 00:00:00","Chinese, Dutch, English, Japanese, Portuguese, Spanish","+6421 0232 5433","decision making, collaborative","FLOSS communities, Free software social networks and platforms","Collage","Service, Methodology","No license","AGPL license","Loomio Co-operative Limited","Loomio Co-operative Limited, (but it is free software and can be installed by other providers)","",""
"Riseup ","The Riseup Collective is an autonomous body based in Seattle with collective members world wide. Our purpose is to aid in the creation of a free society, a world with freedom from want and freedom of expression, a world without oppression or hierarchy, where power is shared equally. We do this by providing communication and computer resources to allies engaged in struggles against capitalism and other forms of oppression. they empower organizations and individuals to use technology in struggles for liberation. We work to support each other in overcoming the systemic oppression embedded in the use and development of technology.","https://help.riseup.net/en/about-us","https://twitter.com/riseupnet","","https://lists.riseup.net/www/","","PO Box 4282 Seattle, WA 98194 USASeattle,, VA 4282United States","not for profit organization","1999-01-01 00:00:00","English","","ecrypted communication","Community networks, Citizen media","Exchange","Resource, Service","Other","No license","Riseup","Riseup","To contact by e-mail
https://mail.riseup.net/ ",""
"Friendica ","Friendica is an open source, free social web server running on the popular LAMP stack. Think WordPress or Drupal, but for social. It is a mature platform with over two years of development behind it, and provides a wide range of connectors to both legacy and indie social networks. Your ""friends"" can be from Facebook, Diaspora, Twitter, StatusNet, pump.io, weblogs and RSS feeds - and even email. No other project has ever brought together the social universe into a single federated stream to this degree. We have pioneered ground-breaking technology such as decentralised photo albums with working privacy controls and cross-site wall-to-wall posting via hidden single sign-on. Not even Facebook will protect your private photos from ""fuskers"" (look it up, but be warned - it's real creepy).  If you make a Friendica photo private, it's private.
We also have stopped calling  as a  ""social network"", as it is conceptually quite different from those things. It's more like a collection of channels and web spaces that can all interact.  Sure, you can use it as a ""social network"" and many people will. But that's like saying you can use a mobile phone to make phone calls.  Most mobile phones can do a lot more.","http://friendica.com/","https://github.com/friendica/friendica/wiki, https://twitter.com/FriendicaNews","","http://dir.friendica.com/directory/forum","Grass Roots Organization Or Community Network","","not for profit organization","2012-01-01 00:00:00","English","","Social Networks, transmedia  service","FLOSS communities, Free software social networks and platforms","Collage","Service","Other","AGPL license","Friendica community ","Friendica volunters ","",""
"Future Everything","FutureEverything is an internationally recognised R&D hub for digital culture, and we present industry conferences, innovation projects, artworks and live experiences which showcase a digital future.","http://futureeverything.org","","","","Academia And Research","","other","2014-01-01 00:00:00","English","","","Collaborative research","Building collective process","Resource, Service, Methodology","No license","No license","","","",""
"Give What You're Good At","We enable knowledge, expertise and goodwill to flow freely to build the capacity of charitable organisations.","http://www.givewhatyouregoodat.com/","","","","Business","","for profit organization","2014-01-01 00:00:00","English","","","Community networks","Exchange","Resource","No license","No license","","","",""
"Changify","Changify is a new service for the public to initiate and build support for local and community change projects directly from their mobile phones, and seek backing from brands, councils, local businesses and other supporters.","http://www.changify.org","","","","Grass Roots Organization Or Community Network","","other","2014-01-01 00:00:00","English","","","Community networks","Building collective process","Resource","No license","No license","","","",""
"Fossbox","Fossbox advocates and specialises in open metadesign, collaborative networks and open source web software development. ","http://www.fossbox.org.uk","","","","Grass Roots Organization Or Community Network","","not for profit organization","2014-01-01 00:00:00","English","","","Community networks, Open technology, Open design","Building collective process","Resource","No license","No license","","","",""
"Commedia - Community Media Association","The CMA is a non-profit making organisation founded in 1983 to support community radio – and our remit has  expanded to now include community television and community-based Internet projects. The CMA represents the community media sector to Government, industry and regulatory bodies.","http://www.commedia.org.uk","","","","Grass Roots Organization Or Community Network","","not for profit organization","2014-01-01 00:00:00","English","","","Community networks","Exchange","Resource","No license","No license","","","",""
"IndieHub","IndieHub is a coworking space dedicated to music and musicians in Milan. ","http://www.indiehub.it/","","","","Business","","for profit organization","2013-01-01 00:00:00","English","","","Community networks, Collaborative video, audio, images, Hacklabs / Collaborative spaces","Space","Resource, Service","No license","No license","","","",""
"Community Forge","CommunityForge is a non-profit association that designs, develops and provides complementary currency systems and tools.
Community Forge distributes free, open-source software for currencies and provides hosted websites. ","http://communityforge.net","","","","Grass Roots Organization Or Community Network","","not for profit organization","2014-01-01 00:00:00","English","","","Community networks, Open technology","Exchange","Resource","Other","Other licenses","","","",""
"Common Futures","Common Futures is a modest new venture working with the public, private and third sectors to explore and kick at the boundaries of the community ownership landscape. ","http://commonfutures.eu","","","","Business","","other","2014-01-01 00:00:00","English","","","Community networks, Open data commons, Urban commons","Collage","Resource, Service, Methodology","Other","Other licenses","","","",""
"CleanWeb","We are Cleanweb UK, a non-profit group dedicated to raising the profile of the cleanweb movement in the UK.
Cleanweb is where cleantech meets the cloud; where sustainability meets social media.","http://www.cleanweb.org.uk/","http://www.twitter.com/cleanwebUK","","","","","not for profit organization","2014-01-01 00:00:00","English","","","Community networks, Urban commons","Building collective process","Resource","No license","No license","","","",""
"Babele","Babele is an online innovation-center open to anyone who has an idea or a project and would like to make it happen with the help of a community.

The platform offers entrepreneurs a step-by-step business methodology to convert their idea into a viable social business, validate the key assumptions with the crowd and find the right people to help them develop it. This online platform is based on a crowdsourcing approach to social innovation","http://www.babele.co","","","","Grass Roots Organization Or Community Network","","for profit organization","2014-01-01 00:00:00","English","","","Community networks, Collaborative consumption, Hacklabs / Collaborative spaces","Other","Resource, Service","Copyright","No license","","","",""
"Asylos","Asylos was launched as an international network of researchers who act on request from our partner lawyers in Europe to substantiate asylum claims. The research is run exclusively by volunteers from around the globe. The founding principle of Asylos is a simple one: everyone with computer access and two hours per week can help make the legal system in Europe live up to its own standards. Our reports are tailor-made for individual cases. The researchers offer a variety of expertise, a combination of more than thirty languages and a fresh perspective to investigate missing information. They vary in age, profession and experience but they have a common goal: to make a real, measurable difference.

Asylos combines a commitment to donate time and expertise with a flexible work organization:  our researchers can choose when and where to spend time on Asylos. They work within teams of regional specialists supervised by a coordinator.  Currently, the coordinators are predominantly based in Paris, London and Brussels. They cover Asia, Africa, the Middle East, the Balkans, Russia and CIS and the Americas. In some cities we organise team meetings but our communication and coordination is predominantly online. Asylos currently has 50 volunteers working with lawyers in France and Belgium. We hope to start working with lawyers in the UK and other European countries shortly.","http://www.asylos.eu","http://www.twitter.com/asylos_research","","","Grass Roots Organization Or Community Network","","not for profit organization","2011-01-01 00:00:00","English, French, Russian","","","Collaborative research","Physical resource","Resource","No license","No license","","","",""
"Jenuino","Jenuino is a network of local-based food distribution that involves customers in all phases of food production, offering a whole range experience on food, from creation to culture, people and places. ","http://www.jenuino.com","http://www.twitter.com/jenuinoo","","","Grass Roots Organization Or Community Network","","for profit organization","2013-01-01 00:00:00","Italian","","","Collaborative consumption","Physical resource","Service","Other","Other licenses","","","",""
